name,ra,dec,z,+/-
NGC 0472,20.11954167,32.70902778,0.0177190006,7.30000029e-05
NGC 0473,19.97945833,16.54469444,0.00711800018,1.70000003e-05
NGC 0474,20.02787792,3.415398889,0.007722,1.7e-05
NGC 0475,20.00832482,14.86105477,0.0537459999,0.000119999997
NGC 0476,20.0829,16.02015,0.0209580008,6.29999995e-05
NGC 0477,20.334875,40.48819444,0.0196000002,2.7e-05
NGC 0478,20.03868813,-22.37738866,0.0225959998,
NGC 0479,20.31554167,3.862277778,0.0174620003,3.00000011e-06
NGC 0480,20.14329167,-9.880230556,0.0429529995,9.10000017e-05
NGC 0481,20.30213247,-9.211226199,0.0184560008,9.99999975e-05
NGC 0482,20.08508333,-40.96611111,0.0219080001,9.30000024e-05
NGC 0483,20.48458333,33.52097222,0.0155640002,6.70000009e-05
NGC 0484,19.89470833,-58.52430556,0.0170280002,8.70000003e-05
NGC 0485,20.365,7.018083333,0.00749500003,7.0000001e-06
NGC 0486,20.42931667,5.346291667,,
NGC 0487,20.47954167,-16.37036111,0.0198439993,2.99999992e-05
NGC 0488,20.44520833,5.256722222,0.0075790002,3.00000011e-06
NGC 0489,20.47458333,9.206555556,0.00836199988,3.00000011e-06
NGC 0490,20.5119655,5.367190981,0.00742200017,5.70000011e-05
NGC 0491,20.335125,-34.06327778,0.012902,3.30000003e-05
NGC 0492,20.5565,5.417055556,0.0474490002,0.000119999997
NGC 0493,20.53745833,0.9453611111,0.00779900001,1.70000003e-05
NGC 0494,20.73083333,33.17388889,0.0182189997,3.30000003e-05
NGC 0495,20.73333333,33.47166667,0.013723,3.30000003e-05
NGC 0496,20.79833333,33.52916667,0.0200340003,2.7e-05
NGC 0497,20.5990639,-0.8752071937,0.0271550007,9.99999975e-06
NGC 0498,20.79698322,33.48935792,0.0205179993,0.000334000011
NGC 0499,20.79791667,33.46055556,0.0146730002,3.30000003e-05
NGC 0500,20.6640299,5.387279584,0.0410719998,0.000113000002
NGC 0501,20.84335563,33.43295977,0.0167120006,4.99999987e-05
NGC 0502,20.73141667,9.049194444,0.008419,1.7e-05
NGC 0503,20.86846362,33.3317226,0.019754,6.70000009e-05
NGC 0504,20.86625,33.20444444,0.0140960002,7.9999998e-05
